Date,Artist,Venue,City,State,
"Nov. 16, 2012",Randy Montana,Mavericks,Jacksonville,Florida,
"Nov. 16, 2012",Aaron Lewis,Mavericks,Jacksonville,Florida,
,,,,,
"Jan. 9, 2013",Corey Chisel,Café 11,St. Augustine,Florida,
"Jan. 9, 2013",Justin Townes Earle,Café 11,St. Augustine,Florida,
,,,,,
"May 2, 2013",The Smashing Pumpkins,St. Augustine Amphitheatre,St. Augustine,Florida,
,,,,,
"May 15, 2013",The Wild Feathers,Freebird Live,Jacksonville,Florida,
"May 15, 2013",Ryan Bingham,Freebird Live,Jacksonville,Florida,
,,,,,
"Jun. 1, 2013",Joshua Black Wilkins,Freebird Live,Jacksonville,Florida,
"Jun. 1, 2013",Blacklist Royals,Freebird Live,Jacksonville,Florida,
"Jun. 1, 2013",Teenage Bottlerocket,Freebird Live,Jacksonville,Florida,
"Jun. 1, 2013",Face To Face,Freebird Live,Jacksonville,Florida,
,,,,,
"Jun. 14, 2013",Strand Of Oaks,Café 11,St. Augustine,Florida,
"Jun. 14, 2013",The Tallest Man On Earth,Café 11,St. Augustine,Florida,
,,,,,
"Jul. 24, 2013",The Movement,Mavericks,Jacksonville,Florida,
"Jul. 24, 2013",John Brown's Body,Mavericks,Jacksonville,Florida,
"Jul. 24, 2013",SOJA,Mavericks,Jacksonville,Florida,
,,,,,
"Sep. 13, 2013",Thao & The Get Down Stay Down,St. Augustine Francis Field,St. Augustine,Florida,
"Sep. 13, 2013",The Walkmen,St. Augustine Francis Field,St. Augustine,Florida,
"Sep. 13, 2013",Edward Sharpe & The Magnetic Zeros,St. Augustine Francis Field,St. Augustine,Florida,
,,,,,
"Sep. 14, 2013",Those Darlins,St. Augustine Francis Field,St. Augustine,Florida,
"Sep. 14, 2013",Half Moon Run,St. Augustine Francis Field,St. Augustine,Florida,
"Sep. 14, 2013",Justin Townes Earle,St. Augustine Francis Field,St. Augustine,Florida,
"Sep. 14, 2013",The Vaccines,St. Augustine Francis Field,St. Augustine,Florida,
"Sep. 14, 2013",John Fogerty,St. Augustine Francis Field,St. Augustine,Florida,
"Sep. 14, 2013",Mumford & Sons,St. Augustine Francis Field,St. Augustine,Florida,
,,,,,
"Oct. 18, 2013",Dr. Dog,St. Augustine Amphitheatre,St. Augustine,Florida,
"Oct. 18, 2013",The Lumineers,St. Augustine Amphitheatre,St. Augustine,Florida,
,,,,,
"Nov. 7, 2013",Serena Ryder,Freebird Live,Jacksonville,Florida,
"Nov. 7, 2013",Michael Franti & Spearhead,Freebird Live,Jacksonville,Florida,
,,,,,
"Nov. 15, 2013",The Avett Brothers,St. Augustine Amphitheatre,St. Augustine,Florida,
,,,,,
"Jan. 5, 2014",Crobot,Freebird Live,Jacksonville,Florida,
"Jan. 5, 2014",The Sword,Freebird Live,Jacksonville,Florida,
"Jan. 5, 2014",Clutch,Freebird Live,Jacksonville,Florida,
,,,,,
"Feb. 3, 2014",Chelsea Wolfe,Florida Theatre,Jacksonville,Florida,
"Feb. 3, 2014",Queens Of The Stone Age,Florida Theatre,Jacksonville,Florida,
,,,,,
"Mar. 6, 2014",Skinny Lister,Mavericks,Jacksonville,Florida,
"Mar. 6, 2014",Lucero,Mavericks,Jacksonville,Florida,
"Mar. 6, 2014",Dropkick Murphys,Mavericks,Jacksonville,Florida,
,,,,,
"Mar. 17, 2014",Zach Deputy,Nippers Beach Grille,Jacksonville,Florida,
,,,,,
"Apr. 3, 2014",Murs,Florida Theatre,Jacksonville,Florida,
